Название таблицы                       | Название первичного ключа
actor 			                | actor_id
actor_info 		            	| ---
address 		              	| address_id
category 		              	| category_id
city                                   | city_id
country 		              	| country_id
customer                               | customer_id
customer_list                          | --- 
film 		                  	| film_id
film_actor 		            	| film_id
film_category                          | film_id
film_list 		            	| ---
film_text 		            	| film_id
inventory 		            	| inventory_id
language 		              	| language_id
nicer_but_slower_film_list             | ---
payment 		              	| payment_id
rental                                 | rental_id
sales_by_film_category                 | --- 
sales_by_store 	          	| --- 
staff 		                	| staff_id
staff_list 		            	| ---
store                                  | store_id
